nohup: ignoring input
4500000
(4500000, 1500)
('shape of sum array', (4500000,))
('shape of correlations', (1500, 4500000))
('sum of correlations, sum of row sums', 14300030, 14300030)
block_size_x=128, f_unroll=6, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 45.3529083252 ms.
block_size_x=128, f_unroll=6, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 81.9832778931 ms.
skipping config 128_6_1_16 reason: too much shared memory used
block_size_x=128, f_unroll=10, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 73.1003768921 ms.
block_size_x=128, f_unroll=10, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 60.2559616089 ms.
block_size_x=128, f_unroll=10, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 47.6651000977 ms.
block_size_x=128, f_unroll=10, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 82.2445632935 ms.
skipping config 128_10_1_16 reason: too much shared memory used
block_size_x=128, f_unroll=12, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 69.5447677612 ms.
block_size_x=128, f_unroll=12, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 62.1118209839 ms.
block_size_x=128, f_unroll=12, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 47.5897598267 ms.
block_size_x=128, f_unroll=12, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 81.3454406738 ms.
skipping config 128_12_1_16 reason: too much shared memory used
block_size_x=128, f_unroll=15, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 68.9667648315 ms.
block_size_x=128, f_unroll=15, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 65.3333633423 ms.
block_size_x=128, f_unroll=15, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 47.8610687256 ms.
block_size_x=128, f_unroll=15, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 81.6630203247 ms.
skipping config 128_15_1_16 reason: too much shared memory used
block_size_x=160, f_unroll=1, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 72.1807281494 ms.
block_size_x=160, f_unroll=1, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 41.9267845154 ms.
block_size_x=160, f_unroll=1, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 50.4864570618 ms.
block_size_x=160, f_unroll=1, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 66.1538101196 ms.
skipping config 160_1_1_16 reason: too much shared memory used
block_size_x=160, f_unroll=2, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 53.3125762939 ms.
block_size_x=160, f_unroll=2, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 42.0836349487 ms.
block_size_x=160, f_unroll=2, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 53.1694854736 ms.
block_size_x=160, f_unroll=2, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 65.7508422852 ms.
skipping config 160_2_1_16 reason: too much shared memory used
block_size_x=160, f_unroll=3, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 55.7242111206 ms.
block_size_x=160, f_unroll=3, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 50.48828125 ms.
block_size_x=160, f_unroll=3, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 54.9312065125 ms.
block_size_x=160, f_unroll=3, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 65.3449859619 ms.
skipping config 160_3_1_16 reason: too much shared memory used
block_size_x=160, f_unroll=4, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 56.6847480774 ms.
block_size_x=160, f_unroll=4, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 52.2673789978 ms.
block_size_x=160, f_unroll=4, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 54.4759742737 ms.
block_size_x=160, f_unroll=4, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 68.5540145874 ms.
skipping config 160_4_1_16 reason: too much shared memory used
block_size_x=160, f_unroll=5, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 61.2027709961 ms.
block_size_x=160, f_unroll=5, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 51.9433540344 ms.
block_size_x=160, f_unroll=5, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 53.9335296631 ms.
block_size_x=160, f_unroll=5, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 68.5249145508 ms.
skipping config 160_5_1_16 reason: too much shared memory used
block_size_x=160, f_unroll=6, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 60.3379272461 ms.
block_size_x=160, f_unroll=6, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 53.0039672852 ms.
block_size_x=160, f_unroll=6, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 53.9803329468 ms.
block_size_x=160, f_unroll=6, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 68.5756500244 ms.
skipping config 160_6_1_16 reason: too much shared memory used
block_size_x=160, f_unroll=10, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 58.7594238281 ms.
block_size_x=160, f_unroll=10, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 55.713433075 ms.
block_size_x=160, f_unroll=10, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 56.3230667114 ms.
block_size_x=160, f_unroll=10, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 69.4452941895 ms.
skipping config 160_10_1_16 reason: too much shared memory used
block_size_x=160, f_unroll=12, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 65.1085571289 ms.
block_size_x=160, f_unroll=12, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 56.7443908691 ms.
block_size_x=160, f_unroll=12, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 58.1115585327 ms.
block_size_x=160, f_unroll=12, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 69.2821655273 ms.
skipping config 160_12_1_16 reason: too much shared memory used
block_size_x=160, f_unroll=15, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 57.7188987732 ms.
block_size_x=160, f_unroll=15, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 59.1217010498 ms.
block_size_x=160, f_unroll=15, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 58.7387588501 ms.
block_size_x=160, f_unroll=15, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 69.5915115356 ms.
skipping config 160_15_1_16 reason: too much shared memory used
block_size_x=192, f_unroll=1, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 60.3232894897 ms.
block_size_x=192, f_unroll=1, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 40.863961792 ms.
block_size_x=192, f_unroll=1, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 43.0698562622 ms.
block_size_x=192, f_unroll=1, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 56.2499450684 ms.
skipping config 192_1_1_16 reason: too much shared memory used
block_size_x=192, f_unroll=2, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 53.6144187927 ms.
block_size_x=192, f_unroll=2, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 40.3315711975 ms.
block_size_x=192, f_unroll=2, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 45.7266937256 ms.
block_size_x=192, f_unroll=2, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 56.4068099976 ms.
skipping config 192_2_1_16 reason: too much shared memory used
block_size_x=192, f_unroll=3, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 50.0393592834 ms.
block_size_x=192, f_unroll=3, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 48.9997749329 ms.
block_size_x=192, f_unroll=3, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 47.3112327576 ms.
block_size_x=192, f_unroll=3, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 55.8903678894 ms.
skipping config 192_3_1_16 reason: too much shared memory used
block_size_x=192, f_unroll=4, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 50.2366790771 ms.
block_size_x=192, f_unroll=4, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 49.3285507202 ms.
block_size_x=192, f_unroll=4, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 45.6086334229 ms.
block_size_x=192, f_unroll=4, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 58.7110404968 ms.
skipping config 192_4_1_16 reason: too much shared memory used
block_size_x=192, f_unroll=5, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 49.7142585754 ms.
block_size_x=192, f_unroll=5, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 49.2131782532 ms.
block_size_x=192, f_unroll=5, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 48.3008895874 ms.
block_size_x=192, f_unroll=5, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 58.4137535095 ms.
skipping config 192_5_1_16 reason: too much shared memory used
block_size_x=192, f_unroll=6, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 57.7583869934 ms.
block_size_x=192, f_unroll=6, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 50.6245697021 ms.
block_size_x=192, f_unroll=6, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 45.7229759216 ms.
block_size_x=192, f_unroll=6, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 58.4151420593 ms.
skipping config 192_6_1_16 reason: too much shared memory used
block_size_x=192, f_unroll=10, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 51.4845184326 ms.
