nohup: ignoring input
4500000
(4500000, 1500)
('hits ', 14321674, 14321674)
block_size_x=96, f_unroll=3, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.272874451 ms.
block_size_x=96, f_unroll=3, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 131.558813477 ms.
block_size_x=96, f_unroll=3, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 63.0379592896 ms.
block_size_x=96, f_unroll=3, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 56.2681602478 ms.
block_size_x=96, f_unroll=3, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 83.2434371948 ms.
block_size_x=96, f_unroll=3, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.251704407 ms.
block_size_x=96, f_unroll=3, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 131.453939819 ms.
block_size_x=96, f_unroll=4, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 55.9518089294 ms.
block_size_x=96, f_unroll=4, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 60.0932487488 ms.
block_size_x=96, f_unroll=4, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 77.9720504761 ms.
block_size_x=96, f_unroll=4, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.006726074 ms.
block_size_x=96, f_unroll=4, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 131.428787231 ms.
block_size_x=96, f_unroll=4, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 56.0800765991 ms.
block_size_x=96, f_unroll=4, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 60.0824768066 ms.
block_size_x=96, f_unroll=4, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 77.9072189331 ms.
block_size_x=96, f_unroll=4, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 100.818106079 ms.
block_size_x=96, f_unroll=4, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 131.286288452 ms.
block_size_x=96, f_unroll=5, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 50.2788742065 ms.
block_size_x=96, f_unroll=5, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 67.5174385071 ms.
block_size_x=96, f_unroll=5, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 78.0121154785 ms.
block_size_x=96, f_unroll=5, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 100.760743713 ms.
block_size_x=96, f_unroll=5, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 131.240716553 ms.
block_size_x=96, f_unroll=5, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 50.3149635315 ms.
block_size_x=96, f_unroll=5, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 61.6063491821 ms.
block_size_x=96, f_unroll=5, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 78.3858581543 ms.
